      ID		姓名		语文		数学		电脑		平均
00010007		冻靡连编a		97		69		88		84
00096863		缘蠢诲鉴H		72		77		97		82
00098142		晶析瓜都W		87		76		84		82
00042467		乾就雹唯6		54		86		97		79
00031636		且们霍炯\		92		59		81		77
00021898		拥奸某即,		44		88		95		75
00087427		盛少牲币:		58		85		73		72
00039973		兼患佛匠?		63		92		48		67
00080987		贱嚼蜕檀.		46		87		64		65
00004380		树繁恤琵<		60		92		45		65
00048084		粉匠赡榴>		62		86		42		63
00015611		冗栏揭上!		33		84		69		62
00097200		堆斑氖牛D		68		52		56		58
00069585		虽毅怔被=		61		91		21		57
00067190		骇萝奴迭^		94		52		21		55
00066978		聂祷吐识H		72		11		71		51
00086185		庆梦晕寄b		98		20		36		51
00098829		捐唤线凸3		51		79		22		50
00080503		磁郊甘戚<		60		26		55		47
00085255		芭睫腿贩@		64		 5		62		43
00063083		献勉票蜕(		40		42		49		43
00036542		桑粹诗咋M		77		17		31		41
00040092		耿谓勤魁		27		43		53		41
00064540		籂凹攒联		23		31		62		38
00045083		伶革揩霹M		77		 9		22		36
00048435		听蹬苔兆		12		24		71		35
00074513		水衙歉画K		75		18		14		35
00055144		淹许难蒸+		43		16		44		34
00033871		伸雇梢惯		11		44		34		29
00060073		伎襄搂祸		18		17		14		16
